country,continent,year,lifeExp,pop,gdpPercap,HDI
Argentina,Americas,1950,62.485,17876956,5911.315053,Developing
Argentina,Americas,1955,64.399,19610538,6856.856212,Developing
Argentina,Americas,1960,65.142,21283783,7133.166023,Developing
Argentina,Americas,1965,65.634,22934225,8052.953021,Developing
Argentina,Americas,1970,67.065,24779799,9443.038526,Developing
Argentina,Americas,1975,68.481,26983828,10079.02674,Developing
Argentina,Americas,1980,69.942,29341374,8997.897412,Developing
Argentina,Americas,1985,70.774,31620918,9139.671389,Developing
Argentina,Americas,1990,71.868,33958947,9308.41871,Developing
Argentina,Americas,1995,73.275,36203463,10967.28195,Developing
Argentina,Americas,2000,74.34,38331121,8797.640716,Developing
Argentina,Americas,2005,75.32,40301927,12779.37964,Developing
Australia,Oceania,1950,69.12,8691212,10039.59564,Developed
Australia,Oceania,1955,70.33,9712569,10949.64959,Developed
Australia,Oceania,1960,70.93,10794968,12217.22686,Developed
Australia,Oceania,1965,71.1,11872264,14526.12465,Developed
Australia,Oceania,1970,71.93,13177000,16788.62948,Developed
Australia,Oceania,1975,73.49,14074100,18334.19751,Developed
Australia,Oceania,1980,74.74,15184200,19477.00928,Developed
Australia,Oceania,1985,76.32,16257249,21888.88903,Developed
Australia,Oceania,1990,77.56,17481975,23424.76683,Developed
Australia,Oceania,1995,78.83,18565243,26997.93657,Developed
Australia,Oceania,2000,80.37,19546792,30687.75473,Developed
Australia,Oceania,2005,81.235,20434176,34435.36744,Developed
Brazil,Americas,1950,50.917,56602560,2108.944355,Developing
Brazil,Americas,1955,53.285,65551171,2487.365989,Developing
Brazil,Americas,1960,55.665,76039390,3336.585802,Developing
Brazil,Americas,1965,57.632,88049823,3429.864357,Developing
Brazil,Americas,1970,59.504,100840058,4985.711467,Developing
Brazil,Americas,1975,61.489,114313951,6660.118654,Developing
Brazil,Americas,1980,63.336,128962939,7030.835878,Developing
Brazil,Americas,1985,65.205,142938076,7807.095818,Developing
Brazil,Americas,1990,67.057,155975974,6950.283021,Developing
Brazil,Americas,1995,69.388,168546719,7957.980824,Developing
Brazil,Americas,2000,71.006,179914212,8131.212843,Developing
Brazil,Americas,2005,72.39,190010647,9065.800825,Developing
Canada,Americas,1950,68.75,14785584,11367.16112,Developed
Canada,Americas,1955,69.96,17010154,12489.95006,Developed
Canada,Americas,1960,71.3,18985849,13462.48555,Developed
Canada,Americas,1965,72.13,20819767,16076.58803,Developed
Canada,Americas,1970,72.88,22284500,18970.57086,Developed
Canada,Americas,1975,74.21,23796400,22090.88306,Developed
Canada,Americas,1980,75.76,25201900,22898.79214,Developed
Canada,Americas,1985,76.86,26549700,26626.51503,Developed
Canada,Americas,1990,77.95,28523502,26342.88426,Developed
Canada,Americas,1995,78.61,30305843,28954.92589,Developed
Canada,Americas,2000,79.77,31902268,33328.96507,Developed
Canada,Americas,2005,80.653,33390141,36319.23501,Developed
China,Asia,1950,44,556263527,400.448611,Developing
China,Asia,1955,50.54896,637408000,575.9870009,Developing
China,Asia,1960,44.50136,665770000,487.6740183,Developing
China,Asia,1965,58.38112,754550000,612.7056934,Developing
China,Asia,1970,63.11888,862030000,676.9000921,Developing
China,Asia,1975,63.96736,943455000,741.2374699,Developing
China,Asia,1980,65.525,1000281000,962.4213805,Developing
China,Asia,1985,67.274,1084035000,1378.904018,Developing
China,Asia,1990,68.69,1164970000,1655.784158,Developing
China,Asia,1995,70.426,1230075000,2289.234136,Developing
China,Asia,2000,72.028,1280400000,3119.280896,Developing
China,Asia,2005,72.961,1318683096,4959.114854,Developing
France,Europe,1950,67.41,42459667,7029.809327,Developed
France,Europe,1955,68.93,44310863,8662.834898,Developed
France,Europe,1960,70.51,47124000,10560.48553,Developed
France,Europe,1965,71.55,49569000,12999.91766,Developed
France,Europe,1970,72.38,51732000,16107.19171,Developed
France,Europe,1975,73.83,53165019,18292.63514,Developed
France,Europe,1980,74.89,54433565,20293.89746,Developed
France,Europe,1985,76.34,55630100,22066.44214,Developed
France,Europe,1990,77.46,57374179,24703.79615,Developed
France,Europe,1995,78.64,58623428,25889.78487,Developed
France,Europe,2000,79.59,59925035,28926.03234,Developed
France,Europe,2005,80.657,61083916,30470.0167,Developed
Germany,Europe,1950,67.5,69145952,7144.114393,Developed
Germany,Europe,1955,69.1,71019069,10187.82665,Developed
Germany,Europe,1960,70.3,73739117,12902.46291,Developed
Germany,Europe,1965,70.8,76368453,14745.62561,Developed
Germany,Europe,1970,71,78717088,18016.18027,Developed
Germany,Europe,1975,72.5,78160773,20512.92123,Developed
Germany,Europe,1980,73.8,78335266,22031.53274,Developed
Germany,Europe,1985,74.847,77718298,24639.18566,Developed
Germany,Europe,1990,76.07,80597764,26505.30317,Developed
Germany,Europe,1995,77.34,82011073,27788.88416,Developed
Germany,Europe,2000,78.67,82350671,30035.80198,Developed
Germany,Europe,2005,79.406,82400996,32170.37442,Developed
India,Asia,1950,37.373,372000000,546.5657493,Developing
India,Asia,1955,40.249,409000000,590.061996,Developing
India,Asia,1960,43.605,454000000,658.3471509,Developing
India,Asia,1965,47.193,506000000,700.7706107,Developing
India,Asia,1970,50.651,567000000,724.032527,Developing
India,Asia,1975,54.208,634000000,813.337323,Developing
India,Asia,1980,56.596,708000000,855.7235377,Developing
India,Asia,1985,58.553,788000000,976.5126756,Developing
India,Asia,1990,60.223,872000000,1164.406809,Developing
India,Asia,1995,61.765,959000000,1458.817442,Developing
India,Asia,2000,62.879,1034172547,1746.769454,Developing
India,Asia,2005,64.698,1110396331,2452.210407,Developing
Indonesia,Asia,1950,37.468,82052000,749.6816546,Developing
Indonesia,Asia,1955,39.918,90124000,858.9002707,Developing
Indonesia,Asia,1960,42.518,99028000,849.2897701,Developing
Indonesia,Asia,1965,45.964,109343000,762.4317721,Developing
Indonesia,Asia,1970,49.203,121282000,1111.107907,Developing
Indonesia,Asia,1975,52.702,136725000,1382.702056,Developing
Indonesia,Asia,1980,56.159,153343000,1516.872988,Developing
Indonesia,Asia,1985,60.137,169276000,1748.356961,Developing
Indonesia,Asia,1990,62.681,184816000,2383.140898,Developing
Indonesia,Asia,1995,66.041,199078000,3119.335603,Developing
Indonesia,Asia,2000,68.588,211060000,2873.91287,Developing
Indonesia,Asia,2005,70.65,223547000,3540.651564,Developing
Italy,Europe,1950,65.94,47666000,4931.404155,Developed
Italy,Europe,1955,67.81,49182000,6248.656232,Developed
Italy,Europe,1960,69.24,50843200,8243.58234,Developed
Italy,Europe,1965,71.06,52667100,10022.40131,Developed
Italy,Europe,1970,72.19,54365564,12269.27378,Developed
Italy,Europe,1975,73.48,56059245,14255.98475,Developed
Italy,Europe,1980,74.98,56535636,16537.4835,Developed
Italy,Europe,1985,76.42,56729703,19207.23482,Developed
