country,continent,year,lifeExp,pop,gdpPercap
Argentina,Americas,1952,62.485,17876956,5911.315053
Argentina,Americas,1957,64.399,19610538,6856.856212
Argentina,Americas,1962,65.142,21283783,7133.166023
Argentina,Americas,1967,65.634,22934225,8052.953021
Argentina,Americas,1972,67.065,24779799,9443.038526
Argentina,Americas,1977,68.481,26983828,10079.02674
Argentina,Americas,1982,69.942,29341374,8997.897412
Argentina,Americas,1987,70.774,31620918,9139.671389
Argentina,Americas,1992,71.868,33958947,9308.41871
Argentina,Americas,1997,73.275,36203463,10967.28195
Argentina,Americas,2002,74.34,38331121,8797.640716
Argentina,Americas,2007,75.32,40301927,12779.37964
Australia,Oceania,1952,69.12,8691212,10039.59564
Australia,Oceania,1957,70.33,9712569,10949.64959
Australia,Oceania,1962,70.93,10794968,12217.22686
Australia,Oceania,1967,71.1,11872264,14526.12465
Australia,Oceania,1972,71.93,13177000,16788.62948
Australia,Oceania,1977,73.49,14074100,18334.19751
Australia,Oceania,1982,74.74,15184200,19477.00928
Australia,Oceania,1987,76.32,16257249,21888.88903
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1997,78.83,18565243,26997.93657
Australia,Oceania,2002,80.37,19546792,30687.75473
Australia,Oceania,2007,81.235,20434176,34435.36744
Brazil,Americas,1952,50.917,56602560,2108.944355
Brazil,Americas,1957,53.285,65551171,2487.365989
Brazil,Americas,1962,55.665,76039390,3336.585802
Brazil,Americas,1967,57.632,88049823,3429.864357
Brazil,Americas,1972,59.504,100840058,4985.711467
Brazil,Americas,1977,61.489,114313951,6660.118654
Brazil,Americas,1982,63.336,128962939,7030.835878
Brazil,Americas,1987,65.205,142938076,7807.095818
Brazil,Americas,1992,67.057,155975974,6950.283021
Brazil,Americas,1997,69.388,168546719,7957.980824
Brazil,Americas,2002,71.006,179914212,8131.212843
Brazil,Americas,2007,72.39,190010647,9065.800825
Canada,Americas,1952,68.75,14785584,11367.16112
Canada,Americas,1957,69.96,17010154,12489.95006
Canada,Americas,1962,71.3,18985849,13462.48555
Canada,Americas,1967,72.13,20819767,16076.58803
Canada,Americas,1972,72.88,22284500,18970.57086
Canada,Americas,1977,74.21,23796400,22090.88306
Canada,Americas,1982,75.76,25201900,22898.79214
Canada,Americas,1987,76.86,26549700,26626.51503
Canada,Americas,1992,77.95,28523502,26342.88426
Canada,Americas,1997,78.61,30305843,28954.92589
Canada,Americas,2002,79.77,31902268,33328.96507
Canada,Americas,2007,80.653,33390141,36319.23501
China,Asia,1952,44,556263527,400.448611
China,Asia,1957,50.54896,637408000,575.9870009
China,Asia,1962,44.50136,665770000,487.6740183
China,Asia,1967,58.38112,754550000,612.7056934
China,Asia,1972,63.11888,862030000,676.9000921
China,Asia,1977,63.96736,943455000,741.2374699
China,Asia,1982,65.525,1000281000,962.4213805
China,Asia,1987,67.274,1084035000,1378.904018
China,Asia,1992,68.69,1164970000,1655.784158
China,Asia,1997,70.426,1230075000,2289.234136
China,Asia,2002,72.028,1280400000,3119.280896
China,Asia,2007,72.961,1318683096,4959.114854
France,Europe,1952,67.41,42459667,7029.809327
France,Europe,1957,68.93,44310863,8662.834898
France,Europe,1962,70.51,47124000,10560.48553
France,Europe,1967,71.55,49569000,12999.91766
France,Europe,1972,72.38,51732000,16107.19171
France,Europe,1977,73.83,53165019,18292.63514
France,Europe,1982,74.89,54433565,20293.89746
France,Europe,1987,76.34,55630100,22066.44214
France,Europe,1992,77.46,57374179,24703.79615
France,Europe,1997,78.64,58623428,25889.78487
France,Europe,2002,79.59,59925035,28926.03234
France,Europe,2007,80.657,61083916,30470.0167
Germany,Europe,1952,67.5,69145952,7144.114393
Germany,Europe,1957,69.1,71019069,10187.82665
Germany,Europe,1962,70.3,73739117,12902.46291
Germany,Europe,1967,70.8,76368453,14745.62561
Germany,Europe,1972,71,78717088,18016.18027
Germany,Europe,1977,72.5,78160773,20512.92123
Germany,Europe,1982,73.8,78335266,22031.53274
Germany,Europe,1987,74.847,77718298,24639.18566
Germany,Europe,1992,76.07,80597764,26505.30317
Germany,Europe,1997,77.34,82011073,27788.88416
Germany,Europe,2002,78.67,82350671,30035.80198
Germany,Europe,2007,79.406,82400996,32170.37442
India,Asia,1952,37.373,372000000,546.5657493
India,Asia,1957,40.249,409000000,590.061996
India,Asia,1962,43.605,454000000,658.3471509
India,Asia,1967,47.193,506000000,700.7706107
India,Asia,1972,50.651,567000000,724.032527
India,Asia,1977,54.208,634000000,813.337323
India,Asia,1982,56.596,708000000,855.7235377
India,Asia,1987,58.553,788000000,976.5126756
India,Asia,1992,60.223,872000000,1164.406809
India,Asia,1997,61.765,959000000,1458.817442
India,Asia,2002,62.879,1034172547,1746.769454
India,Asia,2007,64.698,1110396331,2452.210407
Indonesia,Asia,1952,37.468,82052000,749.6816546
Indonesia,Asia,1957,39.918,90124000,858.9002707
Indonesia,Asia,1962,42.518,99028000,849.2897701
Indonesia,Asia,1967,45.964,109343000,762.4317721
Indonesia,Asia,1972,49.203,121282000,1111.107907
Indonesia,Asia,1977,52.702,136725000,1382.702056
Indonesia,Asia,1982,56.159,153343000,1516.872988
Indonesia,Asia,1987,60.137,169276000,1748.356961
Indonesia,Asia,1992,62.681,184816000,2383.140898
Indonesia,Asia,1997,66.041,199278000,3119.335603
Indonesia,Asia,2002,68.588,211060000,2873.91287
Indonesia,Asia,2007,70.65,223547000,3540.651564
Italy,Europe,1952,65.94,47666000,4931.404155
Italy,Europe,1957,67.81,49182000,6248.656232
Italy,Europe,1962,69.24,50843200,8243.58234
Italy,Europe,1967,71.06,52667100,10022.40131
Italy,Europe,1972,72.19,54365564,12269.27378
Italy,Europe,1977,73.48,56059245,14255.98475
Italy,Europe,1982,74.98,56535636,16537.4835
Italy,Europe,1987,76.42,56729703,19207.23482
Italy,Europe,1992,77.44,56840847,22013.64486
Italy,Europe,1997,78.82,57479469,24675.02446
Italy,Europe,2002,80.24,57926999,27968.09817
Italy,Europe,2007,80.546,58147733,28569.7197
Japan,Asia,1952,63.03,86459025,3216.956347
Japan,Asia,1957,65.5,91563009,4317.694365
Japan,Asia,1962,68.73,95831757,6576.649461
Japan,Asia,1967,71.43,100825279,9847.788607
Japan,Asia,1972,73.42,107188273,14778.78636
Japan,Asia,1977,75.38,113872473,16610.37701
Japan,Asia,1982,77.11,118454974,19384.10571
Japan,Asia,1987,78.67,122091325,22375.94189
Japan,Asia,1992,79.36,124329269,26824.89511
