Country,HDI,Stock_Market_Recovery,Lt_Yc,Mt_Yc,St_Yc,GDP_2019,Real_GDP_Growth,GDP_Deflator,Unemployment,Population,Inflation,Food_Inflation,Interest,Current_Acct_To_GDP,Gold_Tons,Govt_Debt_To_GDP,Household_Debt_To_GDP,Income_Tax,Adjusted_Interest,GDP,Real_GDP,Household_Debt,Household_Debt_To_Real_GDP,Govt_Debt,Govt_Debt_To_Real_GDP,Current_Acct,Current_Acct_To_Real_GDP
United States,Developed,-19.13,38.3,15.2,5,2.3,2.4,113.04,4.4,329,1.5,1.9,0.25,-2.3,8133.46,106.9,75.2,37,3.75,2.12E+13,1.88E+13,1.59E+13,0.85006,2.27E+13,1.2084,-4.88E+13,-2.59992
China,Developing,-9.36,116.9,49,17.6,6,6.1,684.89,5.9,1400,4.3,18.3,3.85,1,1948.31,50.5,54.4,45,0.15,1.42E+13,2.07E+12,7.72E+12,3.7258,7.17E+12,3.45869,1.42E+13,6.8489
Japan,Developed,-19.83,14.4,1.2,2.1,1.7,0.9,105.4,2.4,126,0.4,1.4,-0.1,3.5,765.22,238.3,58.6,55.95,4.1,5.11E+12,4.85E+12,2.99E+12,0.61764,1.22E+13,2.51168,1.79E+13,3.689
Germany,Developed,-24.55,24,4.8,-0.16,0.4,0.5,105.6,3.2,83,1.4,3.6,0,7.1,3366.77,59.8,54.3,45,4,4.04E+12,3.83E+12,2.19E+12,0.57341,2.42E+12,0.63149,2.87E+13,7.4976
India,Developing,-24.95,186.9,89,27.3,4.7,6.1,138.8,7.8,1312,5.91,8.76,4.4,-2.1,618.66,69.62,12,35.88,0.4,2.80E+12,2.02E+12,3.36E+11,0.16656,1.95E+12,0.96633,-5.88E+12,-2.9148
United Kingdom,Developed,-25.17,23.1,10.9,-4.8,1.1,1.2,106.48,4,66.7,1.5,1.3,0.1,-3.8,310.29,80.8,83.9,45,3.9,2.91E+12,2.73E+12,2.44E+12,0.89337,2.35E+12,0.86036,-1.11E+13,-4.04624
France,Developed,-27.04,57.7,22.1,-13.2,0.8,1.2,105.6,8.1,67,0.7,1.9,0,-0.7,2436.01,98.1,61.4,45,4,2.89E+12,2.74E+12,1.77E+12,0.64838,2.84E+12,1.03594,-2.02E+12,-0.7392
Italy,Developed,-33.83,103.8,48.8,30.9,0.1,0,104.22,9.7,60.36,0.1,1.1,0,3,2451.84,134.8,41.3,43,4,2.03E+12,1.95E+12,8.38E+11,0.43043,2.74E+12,1.40489,6.09E+12,3.1266
Brazil,Developing,-36.98,347.6,238.9,20.2,1.7,0.9,4.2,11.6,210.15,3.3,4.87,3.75,-2.7,67.36,75.79,29.8,27.5,0.25,2.02E+12,4.81E+13,6.02E+11,0.01252,1.53E+12,0.03183,-5.45E+12,-0.1134
Canada,Developed,-19.64,24.5,10.2,-2,1.5,1.5,111.3,7.8,37.78,0.9,2.3,0.25,-2.6,0,89.7,101.67,33,3.75,1.74E+12,1.56E+12,1.77E+12,1.13159,1.56E+12,0.99836,-4.52E+12,-2.8938
South Korea,Developed,-16.67,57.5,29.5,13.5,1.3,2,101.77,3.8,51.71,1,2.6,0.75,3.7,104.45,36.6,93.9,42,3.25,1.69E+12,1.66E+12,1.59E+12,0.95562,6.19E+11,0.37248,6.25E+12,3.76549
Russia,Developing,-20.43,70.5,32.5,16,2.1,1.1,118.53,4.7,146.8,2.5,2.2,5.5,7,2241.86,14.6,18.8,13,1.5,1.75E+12,1.48E+12,3.29E+11,0.22284,2.56E+11,0.17305,1.23E+13,8.2971
Australia,Developed,-27.13,67.5,22,2,2.2,1.7,104.63,5.2,25.6,1.8,2.6,0.25,0.2,68.71,45.1,119.8,45,3.75,1.45E+12,1.39E+12,1.74E+12,1.25347,6.54E+11,0.47188,2.90E+11,0.20926
Mexico,Developing,-24.65,162.5,29,6.3,-0.5,0.4,130.38,3.6,126.58,3.25,6.81,6,-0.2,120.06,46,16.5,35,2,1.20E+12,9.20E+11,1.98E+11,0.21513,5.52E+11,0.59975,-2.40E+11,-0.26076
Indonesia,Developing,-30.12,186.3,116.9,62.8,4.97,5,145.09,5.28,266.1,2.96,6.15,4.5,-3,78.54,29.8,17.8,30,0.5,1.13E+12,7.76E+11,2.00E+11,0.25826,3.36E+11,0.43237,-3.38E+12,-4.3527
Turkey,Developing,-98.39,307.5,229.5,35.5,6,0.2,191.5,13.8,83.15,11.86,10.05,8.75,1.2,385.45,33.1,14.2,35,4.75,7.40E+11,3.86E+11,1.05E+11,0.27193,2.45E+11,0.63387,8.88E+11,2.298
Argentina,Developing,-32.44,-4729.5,-3505.5,4836,-1,-3.1,3770.07,8.9,44.94,46.9,54.2,38,-5.4,61.74,86.2,5.3,35,34,4.50E+11,11936117897,23850000000,1.99814,3.88E+11,32.498,-2.43E+12,-203.58378
South Africa,Developing,-15.84,487,316,166,-1.4,0.7,101,29.1,58.8,4.1,4.4,4.25,-3,125.31,62.2,34.1,45,0.25,3.50E+11,3.47E+11,1.19E+11,0.34441,2.18E+11,0.62822,-1.05E+12,-3.03
Saudi Arabia,Developing,0,0,0,0,0,-1.0,0.7,8.22,34.81,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
