Country,Region,Year,GDP_pp 
Argentina,South America,1/1/1901," 3,611.77 "
Argentina,South America,1/1/1906," 4,580.22 "
Argentina,South America,1/1/1911," 4,726.01 "
Argentina,South America,1/1/1916," 3,767.94 "
Argentina,South America,1/1/1921," 4,242.31 "
Argentina,South America,1/1/1926," 4,962.42 "
Argentina,South America,1/1/1931," 4,633.64 "
Argentina,South America,1/1/1936," 4,872.97 "
Argentina,South America,1/1/1941," 5,393.04 "
Argentina,South America,1/1/1946," 5,845.22 "
Argentina,South America,1/1/1951," 6,362.13 "
Argentina,South America,1/1/1956," 6,630.03 "
Argentina,South America,1/1/1961," 7,367.29 "
Argentina,South America,1/1/1966," 7,955.97 "
Argentina,South America,1/1/1971," 9,408.19 "
Argentina,South America,1/1/1976," 9,611.92 "
Argentina,South America,1/1/1981," 9,421.94 "
Argentina,South America,1/1/1986," 9,026.86 "
Argentina,South America,1/1/1991," 8,575.87 "
Argentina,South America,1/1/1996," 10,245.38 "
Argentina,South America,1/1/2001," 9,992.71 "
Argentina,South America,1/1/2006," 11,865.58 "
Argentina,South America,1/1/2011," 15,595.39 "
Australia,Australia and Oceania,1/1/1901," 5,195.50 "
Australia,Australia and Oceania,1/1/1906," 6,100.47 "
Australia,Australia and Oceania,1/1/1911," 6,907.66 "
Australia,Australia and Oceania,1/1/1916," 6,602.49 "
Australia,Australia and Oceania,1/1/1921," 6,646.50 "
Australia,Australia and Oceania,1/1/1926," 7,542.12 "
Australia,Australia and Oceania,1/1/1931," 5,892.35 "
Australia,Australia and Oceania,1/1/1936," 7,465.37 "
Australia,Australia and Oceania,1/1/1941," 9,187.46 "
Australia,Australia and Oceania,1/1/1946," 8,925.84 "
Australia,Australia and Oceania,1/1/1951," 10,160.74 "
Australia,Australia and Oceania,1/1/1956," 10,974.13 "
Australia,Australia and Oceania,1/1/1961," 11,711.50 "
Australia,Australia and Oceania,1/1/1966," 13,860.96 "
Australia,Australia and Oceania,1/1/1971," 16,633.13 "
