HDI,Year,Value
Developed,2008,-1.89435682
Developed,2009,−1.213458
Developed,2010,2.748940444
Developed,2011,2.476131798
Developed,2012,2.296831544
Developed,2013,2.090182545
Developed,2014,2.56884096
Developed,2015,1.887620634
Developed,2016,1.994320141
Developed,2017,2.580057923
Developed,2018,2.743636699
Developed,2019,2.02962594
Developed,2020,−3.723717
Developing,2008,-4.22371949
Developing,2009,−2.162351
Developing,2011,6.111941616
Developing,2012,3.036402848
Developing,2013,4.659591801
Developing,2014,2.285131382
Developing,2015,1.28633924
Developing,2016,0.2401156293
Developing,2017,3.328211409
Developing,2018,2.083850141
Developing,2019,0.8055634067
Developing,2020,−2.896780
World,2008,-2.46903846
World,2009,-3.52139089
World,2010,5.97341679
World,2011,-1.19324534
World,2012,-0.61314903
World,2013,0.15234564
World,2014,0.20329450
World,2015,0.05297634
World,2016,-0.31923645
World,2017,0.67156973
World,2018,-0.25193854
World,2019,-0.70124084
World,2020,-5.93234578
World,2017,0.67156973
World,2018,-0.25193854
World,2019,-0.70124084
World,2020,-5.93234578
